code,name,con,grn,lab,lib,oth,pc,ref,snp
E14001063,Aldershot,31.19194529,2.886864322,38.700911059999996,13.09781035,0.1291960885,0.0,13.99327289,0.0
E14001064,Aldridge-Brownhills,31.845921649999998,4.000699958,36.09160706,8.154515826,0.0,0.0,19.90725551,0.0
E14001065,Altrincham and Sale West,25.49421931,3.482223888,50.262399869999996,9.973168133,0.0,0.0,10.78798879,0.0
E14001066,Amber Valley,23.30108297,5.0800101600000005,45.42683631,4.777518646,0.0,0.0,21.41455192,0.0
E14001067,Arundel and South Downs,30.63836955,4.570209421,30.340800629999997,16.39062003,0.12164767089999999,0.0,17.9383527,0.0
E14001068,Ashfield,14.41358797,2.663108442,33.68637589,5.387373864000001,27.8319851,0.0,16.01756873,0.0
E14001069,Ashford,30.831171159999997,5.075154335,36.56616266,11.06960723,0.22591035159999998,0.0,16.23199427,0.0
E14001070,Ashton under Lyne,17.55745988,4.019714682,58.059243110000004,4.814741431,0.0,0.0,15.5488409,0.0
E14001071,Aylesbury,29.26580774,3.608345892,36.04737546,19.081782099999998,0.1973977458,0.0,11.799291069999999,0.0
E14001072,Banbury,26.58519506,3.578124647,42.97589735,12.84420249,0.15586527819999998,0.0,13.860715169999999,0.0
E14001073,Barking,17.8746489,3.577132786,66.27746874,5.270694498,0.6774246847,0.0,6.3226303900000005,0.0
E14001074,Barnsley North,11.72183057,3.830804158,50.146970960000004,4.433026646,0.2533158083,0.0,29.61405186,0.0
E14001075,Barnsley South,12.539246949999999,3.658928527,49.5760093,4.353630498,0.2670028925,0.0,29.60518183,0.0
E14001076,Barrow and Furness,20.6455542,4.048956819,51.69934384,4.569565047,0.1355545951,0.0,18.9010255,0.0
E14001077,Basildon and Billericay,30.54853076,4.614730434,37.4370566,8.631918179000001,0.230512723,0.0,18.537251299999998,0.0
E14001078,Basingstoke,27.228599539999998,3.7192522140000004,44.40800262,10.47556576,0.2339564885,0.0,13.934623369999999,0.0
E14001079,Bassetlaw,19.17725348,3.4879112169999997,45.530592240000004,4.516344369,0.0,0.0,27.287898700000003,0.0
E14001080,Bath,17.89984084,1.8839989639999999,17.503793910000002,54.24362438,0.05922197135,0.0,8.409519932,0.0
E14001081,Battersea,20.4787234,4.746482498,58.34119767,10.56966369,0.2788263555,0.0,5.585106383,0.0
