Constituency,Constituency Code,Conservative,Labour,Liberal Democrat,Reform UK,The Green Party,Scottish National Party (SNP),Plaid Cymru,Other,GE 2019 Notional Result,Winner,Margin,Change
Aberafan Maesteg,W07000081,12.5%,50.6%,1.6%,19.5%,2.6%,0.0%,10.1%,3.1%,Labour,Labour,31.0%,Labour HOLD
Aberdeen North,S14000060,12.9%,29.0%,8.5%,8.6%,5.7%,33.1%,0.0%,2.2%,Scottish National Party (SNP),Scottish National Party (SNP),4.1%,SNP HOLD
Aberdeen South,S14000061,15.7%,31.1%,9.7%,5.3%,5.9%,30.6%,0.0%,1.6%,Scottish National Party (SNP),Labour,0.5%,Labour GAIN from SNP
Aberdeenshire North and Moray East,S14000062,27.1%,19.9%,6.5%,9.9%,0.0%,36.6%,0.0%,0.0%,Conservative,Scottish National Party (SNP),9.5%,SNP GAIN from Conservative
Airdrie and Shotts,S14000063,7.6%,48.8%,4.0%,8.4%,0.0%,28.3%,0.0%,2.8%,Scottish National Party (SNP),Labour,20.5%,Labour GAIN from SNP
Aldershot,E14001063,33.3%,32.9%,14.5%,15.2%,2.8%,0.0%,0.0%,1.4%,Conservative,Conservative,0.4%,Conservative HOLD
Aldridge-Brownhills,E14001064,40.3%,36.7%,2.1%,17.9%,3.0%,0.0%,0.0%,0.0%,Conservative,Conservative,3.7%,Conservative HOLD
Alloa and Grangemouth,S14000064,9.1%,35.6%,3.6%,8.7%,8.2%,31.5%,0.0%,3.5%,Scottish National Party (SNP),Labour,4.0%,Labour GAIN from SNP
Altrincham and Sale West,E14001065,29.4%,50.8%,6.4%,7.5%,3.9%,0.0%,0.0%,1.9%,Conservative,Labour,21.5%,Labour GAIN from Conservative
Alyn and Deeside,W07000082,16.4%,49.2%,1.5%,15.9%,10.1%,0.0%,4.9%,2.1%,Labour,Labour,32.8%,Labour HOLD
Amber Valley,E14001066,32.0%,43.7%,1.9%,19.3%,3.2%,0.0%,0.0%,0.0%,Conservative,Labour,11.7%,Labour GAIN from Conservative
Angus and Perthshire Glens,S14000065,30.8%,15.2%,9.7%,4.9%,0.0%,39.3%,0.0%,0.2%,Scottish National Party (SNP),Scottish National Party (SNP),8.5%,SNP HOLD
