gss_code,name,region,Conservative,Labour,Liberal Democrat,Green Party,Reform UK,Scottish National Party,Plaid Cymru,Other,Winner,Runner Up,Difference,Outcome,winner_2019
E14001063,Aldershot,SE,0.2819847539,0.2907470774,0.1749982971,0.06274893136,0.1795595917,,,0.009961348557,Labour,Conservative,0.00876232352,Marginal,Conservative
E14001064,Aldridge-Brownhills,WM,0.3182789368,0.3213465271,0.09944614961,0.037025763,0.2106411578,,,,Labour,Conservative,0.003067590363,Marginal,Conservative
E14001065,Altrincham and Sale West,NW,0.2649411652,0.3945852264,0.1133008228,0.046494276,0.1691869748,,,0.01149153474,Labour,Conservative,0.1296440612,Likely Labour,Conservative
E14001066,Amber Valley,EM,0.3227741485,0.3670431821,0.057144286,0.04504747199,0.1948096976,,,,Labour,Conservative,0.0442690336,Marginal,Conservative
E14001067,Arundel and South Downs,SE,0.3144042975,0.2308645369,0.2091772236,0.07563548051,0.1620080293,,,0.00791043222,Conservative,Labour,0.08353976063,Lean Conservative,Conservative
E14001068,Ashfield,EM,0.2258737458,0.3404898343,0.04588986795,0.04295579168,0.3137453252,,,0.03104543508,Labour,Reform UK,0.02674450915,Marginal,Conservative
E14001069,Ashford,SE,0.2651441133,0.3351818996,0.1447963817,0.06132956504,0.1827792797,,,0.01076876065,Labour,Conservative,0.07003778633,Lean Labour,Conservative
E14001070,Ashton-under-Lyne,NW,0.1846202009,0.5106892784,0.05512435133,0.05077506962,0.175066808,,,0.02372429171,Labour,Conservative,0.3260690774,Safe Labour,Labour
E14001071,Aylesbury,SE,0.3103945637,0.2417282243,0.2038801592,0.04942754468,0.1849549344,,,0.009614573747,Conservative,Labour,0.06866633941,Lean Conservative,Conservative
E14001072,Banbury,SE,0.2682628497,0.3021260017,0.2027174273,0.05781258833,0.1587900213,,,0.0102911117,Labour,Conservative,0.03386315206,Marginal,Conservative
E14001073,Barking,GL,0.1774758312,0.5074925046,0.05492124942,0.09959840487,0.1340886173,,,0.02642339263,Labour,Conservative,0.3300166734,Safe Labour,Labour
E14001074,Barnsley North,YH,0.129971769,0.5058283496,0.0673940371,0.05233370585,0.2223571502,,,0.02211498821,Labour,Reform UK,0.2834711994,Safe Labour,Labour
E14001075,Barnsley South,YH,0.1230322127,0.5531925999,0.05509621836,0.05133817443,0.1984495287,,,0.01889126584,Labour,Reform UK,0.3547430712,Safe Labour,Labour
E14001076,Barrow and Furness,NW,0.2205722667,0.4523586834,0.0536295247,0.04066532786,0.2181828852,,,0.01459131219,Labour,Conservative,0.2317864167,Safe Labour,Conservative
E14001077,Basildon and Billericay,EE,0.3212993885,0.3121685836,0.08875815513,0.0517078691,0.2163279433,,,0.009738060368,Conservative,Labour,0.00913080494,Marginal,Conservative
E14001078,Basingstoke,SE,0.2476950633,0.3640902519,0.1369297949,0.055075098,0.1834381076,,,0.01277168431,Labour,Conservative,0.1163951886,Likely Labour,Conservative
