id,Constituency,"Vote For",Candidate,Why,Priority,Speaker,Majority,Ranking,Contentious,First,Second,"Last Election","Correct Choice","Election Date"
E14001063,Aldershot,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,-0.04,95,,,,,Green
E14001064,Aldridge-Brownhills,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,0.04,116,,,,,Green
E14001065,"Altrincham and Sale West",Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",3,,-0.16,309,,,,,Green
E14001066,"Amber Valley",Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,-0.07,170,,,,,Green
E14001067,"Arundel and South Downs","Not sure",TBC,"Historically a safe Tory seat with not enough to go on to figure out the best progressive contender.",3,,0.14,274,,,,,Green
E14001068,Ashfield,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",3,,-0.19,335,,,,,Green
E14001069,Ashford,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,-0.05,124,,,,,Green
E14001070,Ashton-under-Lyne,Labour,TBC,"Current Labour seat. Tories second last election. Polls agree.",4,,-0.39,525,,,,,Green
E14001071,Aylesbury,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,-0.06,150,,,,,Green
E14001072,Banbury,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,-0.06,152,,,,,Green
E14001073,Barking,Any,TBC,"Safe progressive seat.",4,,-0.50,586,,,,,Green
E14001074,"Barnsley North",Labour,TBC,"Current Labour seat. Tories second last election. Polls agree.",3,,-0.39,523,,,,,Green
E14001075,"Barnsley South",Labour,TBC,"Current Labour seat. Brexit Party second last election. Polls agree.",3,,-0.42,548,,,,,Green
E14001076,"Barrow and Furness",Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",3,,-0.17,318,,,,,Green
E14001077,"Basildon and Billericay",Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",1,,0.00,7,,,,,Green
E14001078,Basingstoke,Labour,TBC,"Current Tory seat. Labour second last election. Polls agree.",2,,-0.12,250,,,,,Green
